Name,Mean,stdev
layer_0,-4.563142578288658e-06,3.985047854177614e-05
layer_1,-4.634823768507251e-06,6.025814388498042e-05
layer_2,-4.730322203031003e-06,0.00010701187482475022
layer_3,-3.911086348916684e-06,0.0004362088821610486
layer_4,-1.8838974622025874e-06,0.00258386560256277
layer_5,-7.922240211647995e-06,0.009251470088368715
layer_6,9.149941610126777e-06,0.012666037555172103
layer_7,-5.221510005537384e-06,0.012962219266868708
layer_8,-3.5535878499839436e-06,0.013428914574191661
layer_9,-1.4168512122642355e-06,0.021776445744537687
