Name,Mean,stdev
layer_0,-2.8628012241080942e-06,3.2339409258506475e-05
layer_1,-7.363112722386313e-06,4.895062380811989e-05
layer_2,-9.89689384079266e-06,0.00014523574353576493
layer_3,-1.2930509776494399e-05,0.0009157284939557876
layer_4,-2.8912415703948624e-05,0.005673226060262221
layer_5,-4.923728267176383e-05,0.016125804039281967
layer_6,-5.971029267129808e-05,0.025255006205464125
layer_7,-5.735345201960421e-05,0.028099269393790607
layer_8,-5.926497061153013e-05,0.030116205998286964
layer_9,-4.026444792345023e-05,0.03604686782483403
